,id,title,price,rating,availability,genre
0,1,Soumission,50.1,1,In stock,Fiction
1,2,Private Paris (Private #10),47.61,5,In stock,Fiction
2,3,"We Love You, Charlie Freeman",50.27,5,In stock,Fiction
3,4,Thirst,17.27,5,In stock,Fiction
4,5,The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,Fiction
5,6,Tuesday Nights in 1980,21.04,2,In stock,Fiction
6,7,The Vacationers,42.15,4,In stock,Fiction
7,8,The Regional Office Is Under Attack!,51.36,5,In stock,Fiction
8,9,Finders Keepers (Bill Hodges Trilogy #2),53.53,5,In stock,Fiction
9,10,The Time Keeper,27.88,5,In stock,Fiction
10,11,The Testament of Mary,52.67,4,In stock,Fiction
11,12,The First Hostage (J.B. Collins #2),25.85,3,In stock,Fiction
12,13,Take Me with You,45.21,3,In stock,Fiction
13,14,Still Life with Bread Crumbs,26.41,3,In stock,Fiction
14,15,Shtum,55.84,4,In stock,Fiction
15,16,My Name Is Lucy Barton,41.56,1,In stock,Fiction
16,17,My Mrs. Brown,24.48,3,In stock,Fiction
17,18,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,In stock,Fiction
18,19,I Am Pilgrim (Pilgrim #1),10.6,4,In stock,Fiction
19,20,Eligible (The Austen Project #4),27.09,3,In stock,Fiction
20,21,Soumission,50.1,1,In stock,Fiction
21,22,Private Paris (Private #10),47.61,5,In stock,Fiction
22,23,"We Love You, Charlie Freeman",50.27,5,In stock,Fiction
23,24,Thirst,17.27,5,In stock,Fiction
24,25,The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,Fiction
25,26,Tuesday Nights in 1980,21.04,2,In stock,Fiction
26,27,The Vacationers,42.15,4,In stock,Fiction
27,28,The Regional Office Is Under Attack!,51.36,5,In stock,Fiction
28,29,Finders Keepers (Bill Hodges Trilogy #2),53.53,5,In stock,Fiction
29,30,The Time Keeper,27.88,5,In stock,Fiction
30,31,The Testament of Mary,52.67,4,In stock,Fiction
31,32,The First Hostage (J.B. Collins #2),25.85,3,In stock,Fiction
32,33,Take Me with You,45.21,3,In stock,Fiction
33,34,Still Life with Bread Crumbs,26.41,3,In stock,Fiction
34,35,Shtum,55.84,4,In stock,Fiction
35,36,My Name Is Lucy Barton,41.56,1,In stock,Fiction
36,37,My Mrs. Brown,24.48,3,In stock,Fiction
37,38,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,In stock,Fiction
38,39,I Am Pilgrim (Pilgrim #1),10.6,4,In stock,Fiction
39,40,Eligible (The Austen Project #4),27.09,3,In stock,Fiction
40,41,Soumission,50.1,1,In stock,Fiction
41,42,Private Paris (Private #10),47.61,5,In stock,Fiction
42,43,"We Love You, Charlie Freeman",50.27,5,In stock,Fiction
43,44,Thirst,17.27,5,In stock,Fiction
44,45,The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,Fiction
45,46,Tuesday Nights in 1980,21.04,2,In stock,Fiction
46,47,The Vacationers,42.15,4,In stock,Fiction
